01S	01_STUDIO P.I.
TIE	TELEIMAGE (BRASIL)
TIT	TITRA FILM GENEVA
TK	TELEKING
TL	TIMELAPSES.ES (SPAIN)
TLK	THE LOOK
TLS	TELSON SPAIN
TNL	TUNNEL POST
TOL	TOLIRAG
TP	TALENTO POST
TPB	THE POST BANGKOK
TPM	THE POSTMAN
TPS	TECHNICOLOR PRODUCTION SERVICES
TVC	TVC SOHO
TW	TRICKWILK
UBP	URBAN POST PRODUCTION
UDS	UNIVERSAL STUDIOS DIGITAL SERVICES
UIG	UIGIG ENTERTAINMENT (SPAIN)
UP4	UP4, MONTREAL (CANADA)
UPI	UNION PICTURES (CANADA)
USP	UNIVERSAL STUDIOPOST
UTD	UTD. BY CONTENT
UTS	UNTITLED STUDIOS
VCV	VIA EXPRESA CINE Y VIDEO SRL
VDP	VIDÉO DE POCHE
VER	VERINET GMBH
VEV	VENTE EN VIDÉO
VEX	VIRTUAL EXPERIENCE
VFX	BONANZA POST PRODUCTION
VG	VISION GLOBALE (OBSOLETE - SEE MELS STUDIOS AND POSTPRODUCTION)
VIS	VISAR STUDIO
VM	VESTMEDIA A/S
VP	VEGA PROD
VPP	VIDEOBOLAGET POST PRODUCTION
VS	VI.SO. VIRTUAL SOLUTION
WD	WELL DONE
WFF	WILDFIRE FINISHING
WFG	WEFADETOGREY
WFS	WATERFRONT FILM STUDIOS
WG	WILKNER GROUP
WHC	WHEELHOUSE CREATIVE
WL	WAVE-LINE
WLP	WHITE LIGHT POST
WP	BILL BRYN RUSSELL
WTF	CINECERT, LLC
XDC	XDC DIGITAL LAB (OBS., SEE DCINEX - LIÈGE)
XXL	XXL VIDEO
YBA	YMAGIS BARCELONA
YBE	YMAGIS BERLIN
YMA	YMAGIS
YMF	YMAGIFILM
YMQ	YMAGIS QUICKDCP
YPA	YMAGIS PARIS
YUS	YUSARI FILEM
ZAP	ZOETROPE AUBRY PRODUCTIONS
ZEN	ZENTROPA KLIPPEGANGEN
ZEU	ZEUS DCP
ZHK	ZÜRCHER HOCHSCHULE DER KÜNSTE
ZM	ZOOM-ENTERTAINMENT
ZOE	ZOE CREATIVE SERVICES
ZWB	ZWEIB
